100000,1,0.0247152,0.0117872,1.95674
100000,2,0.0116917,0.353647,1.82668
100000,3,0.0247103,0.0122127,1.40395
100000,4,0.0247277,0.0121223,0.970052
100000,5,0.0117101,0.0273104,1.64178
100000,6,0.0246809,0.0250858,1.15325
100000,7,0.0116861,0.851774,2.31178
100000,8,0.0266798,0.0248977,0.451442
100000,9,0.024677,0.646592,2.07496
100000,10,0.0247802,0.0103613,0.379191
100000,11,0.024696,1.02272,2.20613
100000,12,0.0187001,0.888071,2.32193
100000,13,0.0246956,1.2372,2.32059
100000,14,0.0116898,1.18673,2.35327
100000,15,0.0247423,1.31284,2.51471
100000,16,0.0116999,1.37355,2.93684
100000,17,0.0116851,1.06184,2.65552
100000,18,0.0246854,1.85057,3.26763
100000,19,0.0246813,1.05054,2.01429
100000,20,0.0247384,1.50737,2.82353
100000,21,0.0247356,0.0457802,0.821692
100000,22,0.0248425,0.0337821,1.18064
100000,23,0.0246919,0.027638,0.939674
100000,24,0.0116891,0.0309888,0.892912
